bathrooms,bedrooms,floors,waterfront,view,condition,grade,zipcode,lat,long,dist_stop,ncult,age,since_renovated,m2_living,m2_lot,m2_above,m2_basement,m2_living15,m2_lot15,district_name
2.5,4,2.0,0,0,3,8,98023,47.3227,-122.37,860.0,1.0,10,10,225.103969,677.448676,225.103969,0.0,231.792985,695.750567,Federal Way
2.5,4,2.0,0,0,3,9,98065,47.5185,-121.885,593.0,0.0,2,2,232.2575,459.405335,232.2575,0.0,256.41228,557.418,King County
4.0,4,2.0,0,0,3,12,98027,47.5406,-121.982,991.0,0.0,9,9,729.28855,8328.846853,729.28855,0.0,576.92763,8903.080296,King County
2.0,4,1.5,0,0,4,7,98058,47.4496,-122.155,113.0,0.0,49,49,144.92867999999999,703.182807,144.92867999999999,0.0,137.49644,813.365765,King County
2.5,4,2.0,0,0,3,8,98038,47.3528,-122.057,570.0,0.0,23,23,198.81242,659.146785,198.81242,0.0,148.6448,667.229346,King County
1.5,3,1.0,0,0,4,8,98003,47.335,-122.321,787.0,1.0,59,59,165.36734,1136.296593,165.36734,0.0,228.54138,1176.430689,Federal Way
3.5,3,1.0,0,0,3,10,98031,47.4002,-122.217,1181.0,0.0,4,4,339.09595,9631.439816,190.45115,148.6448,236.90265,1499.45442,Kent
2.25,3,3.0,0,0,3,8,98103,47.6488,-122.334,225.0,5.0,7,7,115.19972,88.164947,115.19972,0.0,121.70293,105.90942,Seattle
2.0,3,1.0,0,0,3,7,98030,47.3867,-122.19,159.0,0.0,17,17,119.84487,738.764656,119.84487,0.0,155.14801,676.33384,Kent
1.0,4,1.5,0,0,4,7,98126,47.5303,-122.378,129.0,2.0,64,64,139.3545,593.464364,139.3545,0.0,91.04494,498.517498,Seattle
2.5,3,2.0,0,1,3,9,98126,47.5219,-122.38,295.0,3.0,14,14,304.72184,627.09525,226.68332,78.03852,164.43831,593.371461,Seattle
1.5,2,1.0,0,0,4,8,98019,47.7698,-121.898,7603.0,0.0,39,39,253.62519,1846.632931,145.85771,107.76748,134.70935,1812.444627,King County
2.75,4,1.0,0,3,3,9,98107,47.6586,-122.358,364.0,15.0,55,10,229.47041,510.9665,145.85771,83.6127,150.50286,510.9665,Seattle
2.5,3,2.0,0,0,3,8,98038,47.371,-122.018,574.0,0.0,1,1,224.82526,438.966675,224.82526,0.0,220.18010999999998,390.19259999999997,King County
1.75,3,1.0,0,0,5,7,98006,47.5531,-122.177,109.0,2.0,56,56,106.83845,972.322798,106.83845,0.0,125.41905,964.704752,Bellevue
1.0,3,1.0,0,0,3,6,98133,47.7027,-122.355,111.0,5.0,73,26,77.10949,314.569558,77.10949,0.0,120.7739,357.119132,Seattle
1.0,2,1.0,0,0,3,6,98117,47.6901,-122.362,169.0,30.0,105,105,123.56099,511.89553,78.96755,44.59344,111.4836,385.54745,Seattle
1.5,3,1.0,0,0,4,6,98038,47.3609,-122.028,176.0,1.0,46,46,101.26427,892.333315,101.26427,0.0,107.76748,974.273761,King County
1.0,4,1.5,0,0,5,5,98030,47.3834,-122.215,374.0,1.0,115,115,100.33524,2426.068942,100.33524,0.0,159.79316,1891.50508,Kent
3.5,3,3.0,0,0,3,8,98103,47.6824,-122.347,131.0,16.0,5,5,147.71577,102.379106,147.71577,0.0,150.50286,294.130898,Seattle
2.25,3,2.0,0,2,3,11,98112,47.6301,-122.301,89.0,4.0,15,15,272.20579,557.418,178.37376,93.83203,173.72861,468.23112,Seattle
2.5,3,2.0,0,0,3,8,98052,47.7242,-122.105,1076.0,0.0,29,29,195.09629999999999,729.381453,195.09629999999999,0.0,195.09629999999999,760.596861,King County
2.5,4,2.0,0,0,3,10,98075,47.5841,-121.971,5225.0,0.0,9,9,360.46364,669.644824,360.46364,0.0,304.72184,670.852563,Sammamish
1.5,2,2.0,0,0,3,7,98014,47.7076,-121.359,41159.0,2.0,93,12,91.04494,464.515,91.04494,0.0,96.61912,464.515,King County
